,C1,C4,C5,C6,T2,T5,C3_impute,C7_impute,C3`,C5`,C6`,T1prime,T3prime,T4prime,S1prime,S2prime,S3prime,Y1,Y2
40,20.0,0.004669618127058825,209529412.0,73484164.0,17353.0,917.0,0.51,3018.118,0,2.851354640164376,0.21428571428571427,0.7517482517482518,0.8778885495303406,0.052843888664784185,0.004840661557079467,0.008298276954993373,0.008298276954993373,0,1
41,119.0,-0.019999416118981355,19629551.0,7666667.0,7912.0,365.0,1.08,46.672,1,2.560376106070604,0.0,0.598159509202454,0.8830889787664308,0.0461324570273003,0.0037917087967644083,0.008594539939332659,0.008594539939332659,1,0
42,38.0,0.02925670137266296,19932773.0,8500000.0,18736.0,923.0,0.09,608.16,0,2.345032117647059,0.23529411764705882,0.6666666666666666,0.9181255337318531,0.049263450042698546,0.005924423569598634,0.01430401366353544,0.01430401366353544,0,1
43,112.0,-0.006417682468154485,42908654.0,13350000.0,12468.0,701.0,0.0,107.462,0,3.2141313857677902,0.0,0.5700197238658777,0.902149502726981,0.05622393326916907,0.006336220725056144,0.01122874558870709,0.01122874558870709,1,0
44,156.0,-0.0008063218195906665,30941015.0,6861919.0,17361.0,860.0,-0.01,69.833,0,4.509090678569653,0.0,0.6581352833638026,0.837278958585335,0.04953631703242901,0.0032256206439721215,0.008985657508208053,0.008985657508208053,1,0
45,222.0,-0.004839837912175111,15634343.0,4600000.0,8296.0,514.0,-1.42,107.462,0,3.3987702173913044,0.0,0.6357142857142857,0.8844021215043394,0.061957569913211184,0.004459980713596914,0.009281581485053038,0.009281581485053038,1,0
46,102.0,0.0283099533258931,75140978.0,8000000.0,12387.0,613.0,-0.16,72.503,0,9.39262225,0.2222222222222222,0.687960687960688,0.9146686041818035,0.049487365786711875,0.00403648986841043,0.006700573181561314,0.006700573181561314,0,1
47,39.0,0.0027190288727909386,32948378.0,7200000.0,5079.0,292.0,-1.0,107.462,0,4.576163611111111,0.0,0.4663677130044843,0.92537901161646,0.05749163221106517,0.0057097853908249655,0.011813349084465446,0.011813349084465446,1,0
48,116.0,-0.02246402239096419,34760223.0,9300000.0,39669.0,2268.0,-9.12,74.005,0,3.7376583870967743,0.0,0.6096681096681097,0.8965943179812952,0.057173107464266806,0.007789457762988732,0.01915853689278782,0.01915853689278782,1,0
49,90.0,0.03469512390660059,31600399.0,6286819.0,11688.0,630.0,-0.29,75.813,0,5.026452805464894,0.2,0.6203090507726269,0.8936516084873375,0.053901437371663245,0.0034223134839151265,0.006416837782340862,0.006416837782340862,0,1
50,107.0,0.015487112031121256,11901530.0,4000000.0,6630.0,410.0,-0.79,19.157,0,2.9753825,0.0,0.6169354838709677,0.8953242835595777,0.06184012066365008,0.007692307692307693,0.008144796380090498,0.008144796380090498,1,0
51,93.0,-0.05993323169635589,20587127.0,5500000.0,6340.0,369.0,-59.08,8.822,0,3.743114,0.0,0.5171232876712328,0.911198738170347,0.0582018927444795,0.005362776025236593,0.006309148264984227,0.006309148264984227,1,0
52,117.0,0.002756461109020153,18156483.0,6700000.0,9472.0,380.0,0.62,139.357,0,2.7099228358208953,0.13333333333333333,0.6371951219512195,0.8616976351351351,0.04011824324324324,0.006228885135135135,0.006228885135135135,0.006228885135135135,0,1
53,86.0,0.049754821648229856,29644831.0,9000000.0,14954.0,819.0,-1.49,20.719,0,3.293870111111111,0.0,0.6948775055679287,0.9025678748161027,0.05476795506219072,0.006620302260264812,0.006553430520262137,0.006553430520262137,1,0
54,350.0,0.059353423385064455,235888203.0,43200000.0,22107.0,1442.0,0.35,1699.0,0,5.460375069444445,0.07142857142857142,0.55,0.8830687112679242,0.0652282082598272,0.005790021260234315,0.014655991314968109,0.014655991314968109,0,1
55,77.0,0.08987183041029774,22760415.0,6000000.0,6877.0,450.0,-16.37,107.462,0,3.7934025,0.0,0.5767790262172284,0.903155445688527,0.06543550966991421,0.005089428529882216,0.007416024429256944,0.007416024429256944,1,0
56,90.0,-0.01458233982616616,35145253.0,9058450.0,13269.0,459.0,38.5,935.468,38,3.8798307657491073,0.03614457831325301,0.634453781512605,0.8891401009872636,0.03459190594619037,0.007687090210264526,0.005652272213429799,0.005652272213429799,0,1
57,149.0,-0.02469393686831301,8404958.0,2750000.0,6360.0,356.0,-1.63,1.9,0,3.0563483636363635,0.0,0.5407407407407407,0.9088050314465409,0.0559748427672956,0.00990566037735849,0.005974842767295598,0.005974842767295598,1,0
58,110.0,0.01929958934297418,79829804.0,800000.0,26431.0,1173.0,0.21,167.884,0,99.787255,0.058823529411764705,0.717948717948718,0.8353448602020355,0.04437970564867012,0.00469146078468465,0.005939994703189437,0.005939994703189437,0,1
59,238.0,0.00430373527330501,160000000.0,58000000.0,21801.0,1217.0,-2.14,2214.215,0,2.7586206896551726,0.0,0.6360153256704981,0.9225723590660979,0.055823127379478005,0.006329984863079675,0.013714967203339297,0.013714967203339297,1,0
60,67.0,0.012708623146163443,50082900.0,9090900.0,13486.0,714.0,-0.02,32.978,0,5.509124509124509,0.045454545454545456,0.6051188299817185,0.9082752484057541,0.05294379356369568,0.004745662168174403,0.006228681595728904,0.006228681595728904,0,1
61,59.0,0.002046754742247154,15690374.0,5000000.0,13075.0,759.0,-0.66,389.962,0,3.1380748,0.0,0.6189555125725339,0.9129636711281071,0.05804971319311664,0.0076481835564053535,0.01277246653919694,0.01277246653919694,1,0
62,149.0,-0.012062164680420817,120622350.0,14000000.0,20576.0,1006.0,-0.47,4351.218,0,8.615882142857142,0.0,0.740506329113924,0.8880248833592534,0.048891912908242616,0.005589035769828927,0.007873250388802489,0.007873250388802489,1,0
63,147.0,0.04638015077402592,22465088.0,16300000.0,4348.0,221.0,-158.2,107.462,0,1.3782262576687117,0.0,0.5555555555555556,0.9620515179392825,0.050827966881324745,0.0020699172033118675,0.008509659613615455,0.008509659613615455,1,0
64,91.0,0.050890498603735436,87028093.0,16000000.0,41864.0,2569.0,0.28,259.295,0,5.4392558125,0.375,0.6894941634241245,0.8766959678960443,0.061365373590674566,0.006807758455952609,0.013734951270781578,0.013734951270781578,0,1
