,C2,C3`,C1,C4,C5,C6,C3_impute,C7_impute,C5`,T1prime,T2prime,T3prime,T4prime,T5prime,S1prime,S2prime,S3prime,I3_bin,Y1
50,1,0,-0.32621617777806655,0.2464627339170225,-0.6169447013096645,-0.5944077852491838,0.06735318342416603,-0.44451770809682806,-0.5274199733273077,-0.16766613012058895,1.3974146693685052,0.05174129465203947,0.057972850473439544,1.3974146693685052,1.4007345604181058,-0.30615764255933064,3.242778774433022,2,1.0
51,1,0,-0.45102561422324994,-2.0486681699055347,-0.45863506324020303,-0.4759956731770703,-2.032838173368848,-0.4565576164477872,-0.19429237215611728,-1.6070619889478768,0.8692367965448058,0.6918343539881083,1.7723406992671156,0.8692367965448058,0.03283938459955874,-0.9403934884278782,1.8003885693061132,2,1.0
52,1,1,-0.23706658031722133,-0.14094613898163658,-0.5029376450795064,-0.38126598351937957,0.11815554769038923,-0.30448897236530464,-0.6426060001292494,0.12449895855954046,-1.7560477481985537,-1.3041594145677766,-0.22443303151434382,-1.7560477481985537,0.5414164904228433,-0.968125249015854,-1.1008416444821418,2,-1.0
53,1,0,-0.5134303324458416,1.2892699588433925,-0.2935431482019721,-0.1997007450088056,0.04213215151894884,-0.4426980335110324,-0.38922450539068215,0.9563390268717404,0.3707166541195577,0.3438188873413397,-0.9382991182733355,0.3707166541195577,0.7712556485532096,-0.8559913845977047,0.4402544397797168,2,1.0
54,1,1,1.840119040520473,1.581366843992803,3.4655897675371885,2.500095410235381,0.10842743538409116,1.5124397920483412,0.5508471208159714,-1.1329455444686274,1.889278549050115,-0.44243043939651017,1.1389293453635703,1.889278549050115,0.2837167193471222,1.9435290992256147,1.0473518759666554,2,-1.0
55,1,0,-0.5936649701606023,2.5100783247060634,-0.4190232280720846,-0.4365249691530325,-0.4939949266948108,-0.34164551584414776,-0.17247160881437934,-0.7467640866097903,1.9193734249747858,0.3675110422234173,0.6763599674942786,1.9193734249747858,-0.12766958186040323,-0.557956062353656,0.33516357402562136,2,1.0
56,1,1,-0.47777049346150346,-0.6685865062195216,-0.1932886906155444,-0.19508661970839558,1.482973674218428,0.6229520994479963,-0.13496938200411263,0.08496597336120462,-2.558330931910994,-0.1976186008066627,-0.18727567687197536,-2.558330931910994,1.3976708679954393,-1.1673511143257456,0.07926752037261808,2,-1.0
57,0,0,0.048212131557483474,-0.9762944496132755,-0.6806756167324977,-0.6930845453092783,0.037087945137905406,-0.46462150087984716,-0.4922879461408037,-1.2664737097733545,0.5459259579293899,0.5953148137857677,1.3095292212900749,0.5459259579293899,2.700409728205214,-1.0558995750030704,-0.05669991700263668,2,1.0
58,1,1,-0.29947129853981297,0.3624809601156939,0.6211625320357476,-0.8470202910030258,0.10338322900304772,-0.2712560294018008,6.780728471811884,1.2890499462124883,-1.1373921283687602,-2.3667614845298597,-1.1917086739009413,-1.1373921283687602,-0.36135524773142236,-1.0679399498621556,-0.15968047203439173,3,-1.0
59,1,0,0.8416435489590062,-0.09386074297802988,2.0823994179651533,3.6684282493469005,0.018712621892675734,2.112646989052641,-0.6214754366054158,0.10748506701734903,0.5239007542883857,1.1504438604810696,-0.20848080722510945,0.5239007542883857,0.6007819981284241,1.6183953121397134,-0.03601105036197466,2,1.0
60,1,0,-0.6828145676214475,0.16191000728352023,0.07897509161835121,-0.19252497101723554,0.09509631851990494,-0.4284167334167499,0.5720000680365288,-0.33807459041880944,0.10589494383439015,0.5739527918658768,0.2314204706313911,0.10589494383439015,-0.32952833073932963,-0.9681955740342579,0.5675697982255488,3,-1.0
61,1,0,-0.7541342455901238,-0.1625433491575285,-0.547886636292182,-0.5154663772011081,0.07203708934942064,-0.012543037939361207,-0.4568258976276344,-0.1385352116712232,0.8471442081990969,0.7630003476650985,0.02898522760124508,0.8471442081990969,1.3748249780367432,1.2927513605376992,1.1250946268592297,3,1.0
62,1,0,0.048212131557483474,-0.5918945743855067,1.3646754066478046,0.19500629523157256,0.07888279800940817,4.602179670787022,1.9200582341344892,1.6143542009276048,-0.4823347528968106,-0.2425866378725946,-1.4242098503513505,-0.4823347528968106,0.16569854143554283,-0.39997965564531557,-1.2832846425545756,3,1.0
63,1,0,0.030382212065314423,1.186574704077621,-0.4244060601885344,0.3765715337421465,-5.604136291147602,-0.34164551584414776,-1.2204445889688629,-1.0528286452857918,-0.2012691099814234,2.7423307128336463,1.0392990178224926,-0.2012691099814234,-1.9007190901927482,-0.18009353493615632,0.8778930758553356,2,1.0
64,1,1,-0.46885553371541894,1.3238299614702482,0.7523634761170105,0.3528891113277238,0.10590533219356944,-0.1647654573389532,0.5416832303094324,0.8787056245074033,1.3284935064550372,-0.699393522619724,-0.8767293692795773,1.3284935064550372,0.8813294584023067,1.6253000188827134,1.0246991950688997,2,-1.0
65,1,1,4.1417939473485985,0.1027769306250707,-0.2180750497976285,0.07659418315945912,0.11239074039776815,-0.10394615445762509,-0.6456842192538333,-1.3803137806316905,-0.05099688101578648,-0.012923667461227866,1.4596571121053978,-0.05099688101578648,0.4445911035121927,0.3808735085899269,-0.5345346766928428,1,-1.0
66,1,0,-0.3440460972702356,-0.057567304412804915,-0.37512422148571245,-0.4759956731770703,0.020514124171619828,-0.3591013442651223,0.1671788670537909,-0.14428648960414758,0.17218346479919933,-0.10416104532126086,0.03469321511661903,0.17218346479919933,-1.2415908388670234,-1.2484907117678565,-1.0788490897568837,3,-1.0
67,1,0,0.8416435489590062,0.37561183438131673,-0.07979606433474645,0.11606488718349695,-0.054068070176665296,-0.3789546696755768,-0.43756657786036723,-0.640105225253002,-0.33137926519643585,0.1435409565739152,0.5560775732932854,-0.33137926519643585,-1.2836824606386332,0.2941759624930812,0.038303609027606024,1,-1.0
68,1,1,-0.5401752116840951,-2.098776688081665,0.2072211073471407,-0.06550035132707702,0.10158172672410365,-0.2610742394659147,0.49784724254476365,0.7730913826020958,-0.18495179906236958,0.26733327443077776,-0.7914082507448229,-0.18495179906236958,-1.3403144611044462,0.1777697305889109,0.1291383648223515,2,-1.0
69,1,1,-0.29055633879372844,0.874261371371483,-0.4830064554914098,-0.12075933696072996,0.10230232763568128,-0.10370500680124885,-0.9831931212796817,-0.8195117654385615,-0.2568118980212104,0.02111016869292746,0.7601848417898086,-0.2568118980212104,0.9934660064349249,-0.011241021559388121,-0.07558135505445819,3,1.0
70,1,1,-0.5936649701606023,0.10940045472926312,-0.47750852186099285,-0.31953380242578444,0.11239074039776815,-0.21791463379718357,-0.6845937415775128,-0.3956900340108457,-1.7808401967515264,0.07566904585689484,0.29160599898617506,-1.7808401967515264,0.032859657753226176,-1.1539198476511978,-0.4048945134976755,3,-1.0
71,1,0,0.29783100444785016,1.3431852306185903,-0.35314065251879645,-0.5154663772011081,-0.0753257970682055,-0.39674018305671793,0.47041393934989617,0.11462600839624247,0.6936822064433354,0.7754364747640015,-0.21518335509956288,0.6936822064433354,-1.4481962205517576,-0.5518072061832786,0.02731480537072239,3,-1.0
